ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),10/112,125/11091,4.938176067795715e-7,2.483902562101245e-4,2.2403725107578455e-4,7425/348/718/56975/6696/3486/3481/8542/1114/7018,10
R-HSA-8957275,Post-translational protein phosphorylation,9/112,108/11091,1.341760534326249e-6,3.3745277438305163e-4,3.0436778436558593e-4,7425/348/718/56975/6696/3486/8542/1114/7018,9
R-HSA-5578768,Physiological factors,3/112,14/11091,3.364834874048269e-4,0.04680035398491699,0.04221189194830851,4881/1482/25937,3
R-HSA-112315,Transmission across Chemical Synapses,10/112,270/11091,3.944883033957963e-4,0.04680035398491699,0.04221189194830851,7277/43/1103/57576/2901/2571/2902/4128/6572/1741,10
R-HSA-5083635,Defective B3GALTL causes PpS,4/112,37/11091,5.033798096193465e-4,0.04680035398491699,0.04221189194830851,170691/81794/170690/54437,4
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,4/112,38/11091,5.58254719501992e-4,0.04680035398491699,0.04221189194830851,170691/81794/170690/54437,4
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,4/112,41/11091,7.482901254832488e-4,0.048373015784279855,0.04363036476514517,7277/57576/2902/1741,4
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,6/112,108/11091,7.693521397102163e-4,0.048373015784279855,0.04363036476514517,4128/6097/2308/7124/4692/1052,6
R-HSA-373752,Netrin-1 signaling,4/112,44/11091,9.800363007029175e-4,0.054773139917063056,0.04940299948572602,9423/57453/137970/22885,4
R-HSA-112310,Neurotransmitter release cycle,4/112,51/11091,0.0017090519421136552,0.08596531268831685,0.07753698811063003,1103/2571/4128/6572,4
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",3/112,27/11091,0.0024576264195585915,0.10170252414107882,0.09173127112023641,5054/79365/56938,3
R-HSA-2022854,Keratan sulfate biosynthesis,3/112,28/11091,0.0027324592003360043,0.10170252414107882,0.09173127112023641,4060/8534/9331,3
R-HSA-8878159,Transcriptional regulation by RUNX3,5/112,96/11091,0.002830132996603362,0.10170252414107882,0.09173127112023641,51176/6097/6696/1029/25937,5
R-HSA-112316,Neuronal System,11/112,410/11091,0.0028306865566105435,0.10170252414107882,0.09173127112023641,7277/43/1103/57576/2901/50944/2571/2902/4128/6572/1741,11
R-HSA-1474244,Extracellular matrix organization,9/112,300/11091,0.0033055709300363286,0.11084681185388488,0.09997902251548474,5054/4060/1756/4327/6696/170690/1293/3914/3679,9
R-HSA-112311,Neurotransmitter clearance,2/112,10/11091,0.004313805979606169,0.11420233724957385,0.10300556106428027,43/4128,2
R-HSA-1855167,Synthesis of pyrophosphates in the cytosol,2/112,10/11091,0.004313805979606169,0.11420233724957385,0.10300556106428027,55190/170685,2
R-HSA-193697,p75NTR regulates axonogenesis,2/112,10/11091,0.004313805979606169,0.11420233724957385,0.10300556106428027,4804/84894,2
R-HSA-70635,Urea cycle,2/112,10/11091,0.004313805979606169,0.11420233724957385,0.10300556106428027,445/1373,2
R-HSA-3906995,Diseases associated with O-glycosylation of proteins,4/112,69/11091,0.005146591348514178,0.12284534108424079,0.11080117611658004,170691/81794/170690/54437,4
R-HSA-400253,Circadian Clock,4/112,70/11091,0.005416726282380895,0.12284534108424079,0.11080117611658004,5054/79365/56938/8204,4
R-HSA-5173105,O-linked glycosylation,5/112,112/11091,0.005471040249072632,0.12284534108424079,0.11080117611658004,170691/81794/170690/9331/54437,5
R-HSA-1638074,Keratan sulfate/keratin metabolism,3/112,36/11091,0.005617182594309221,0.12284534108424079,0.11080117611658004,4060/8534/9331,3
R-HSA-451306,Ionotropic activity of kainate receptors,2/112,12/11091,0.006244054295904937,0.12563037243360733,0.11331315374884325,2901/1741,2
R-HSA-451308,Activation of Ca-permeable Kainate Receptor,2/112,12/11091,0.006244054295904937,0.12563037243360733,0.11331315374884325,2901/1741,2
R-HSA-3000178,ECM proteoglycans,4/112,76/11091,0.007238281430286466,0.1400329061320805,0.12630361524103104,5054/4060/1293/3679,4
R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,2/112,14/11091,0.008496650465619008,0.14126802864998542,0.12741764224786797,8644/1645,2
R-HSA-418885,DCC mediated attractive signaling,2/112,14/11091,0.008496650465619008,0.14126802864998542,0.12741764224786797,9423/22885,2
R-HSA-9825892,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,2/112,14/11091,0.008496650465619008,0.14126802864998542,0.12741764224786797,51176/1029,2
R-HSA-1630316,Glycosaminoglycan metabolism,5/112,126/11091,0.008915994691095186,0.14126802864998542,0.12741764224786797,4060/8534/166012/9331/51363,5
R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,2/112,15/11091,0.009739593934762631,0.14126802864998542,0.12741764224786797,8644/1645,2
R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,2/112,15/11091,0.009739593934762631,0.14126802864998542,0.12741764224786797,1482/25937,2
R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),2/112,15/11091,0.009739593934762631,0.14126802864998542,0.12741764224786797,5730/8644,2
R-HSA-114608,Platelet degranulation,5/112,129/11091,0.009813007504606154,0.14126802864998542,0.12741764224786797,5054/7277/3481/7018/7424,5
R-HSA-975634,Retinoid metabolism and transport,3/112,44/11091,0.00982978330566499,0.14126802864998542,0.12741764224786797,348/8644/1645,3
R-HSA-216083,Integrin cell surface interactions,4/112,85/11091,0.010662665518487751,0.14898113210553718,0.13437452744059122,4060/6696/1293/3679,4
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,5/112,134/11091,0.011442943172261804,0.15556217339588346,0.14031034160013764,5054/7277/3481/7018/7424,5
R-HSA-977606,Regulation of Complement cascade,3/112,47/11091,0.011775529293901413,0.15587082196927396,0.14058872924297808,718/3426/716,3
R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,2/112,17/11091,0.012450523681148068,0.15680734190443163,0.14143342965535216,1103/6572,2
R-HSA-6806667,Metabolism of fat-soluble vitamins,3/112,48/11091,0.012469768739915042,0.15680734190443163,0.14143342965535216,348/8644/1645,3
R-HSA-1474228,Degradation of the extracellular matrix,5/112,140/11091,0.01363167153116322,0.1666521078533763,0.1503129820755576,4327/6696/170690/1293/3914,5
R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,2/112,18/11091,0.013915285347598023,0.1666521078533763,0.1503129820755576,7277/2697,2
R-HSA-442755,Activation of NMDA receptors and postsynaptic events,4/112,93/11091,0.014464284101900331,0.16919848612222946,0.15260970496741844,7277/57576/2902/1741,4
R-HSA-3781865,Diseases of glycosylation,5/112,144/11091,0.015238214045387933,0.17270563650091947,0.15577300268263322,170691/81794/4060/170690/54437,5
R-HSA-190872,Transport of connexons to the plasma membrane,2/112,19/11091,0.015450802470261185,0.17270563650091947,0.15577300268263322,7277/2697,2
R-HSA-2022870,Chondroitin sulfate biosynthesis,2/112,20/11091,0.017055523263824708,0.18649843916747452,0.16821351319698968,166012/51363,2
R-HSA-6794361,Neurexins and neuroligins,3/112,55/11091,0.01797963236182821,0.19224782750841313,0.17339921242257206,50944/2902/1741,3
R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,2/112,21/11091,0.01872791957835436,0.19224782750841313,0.17339921242257206,2902/1741,2
R-HSA-8849932,Synaptic adhesion-like molecules,2/112,21/11091,0.01872791957835436,0.19224782750841313,0.17339921242257206,2902/1741,2
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",2/112,22/11091,0.020466486587171654,0.19639037857678687,0.17713561403493802,2902/1741,2
R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,2/112,22/11091,0.020466486587171654,0.19639037857678687,0.17713561403493802,2902/1741,2
R-HSA-166658,Complement cascade,3/112,58/11091,0.020693220804313527,0.19639037857678687,0.17713561403493802,718/3426/716,3
R-HSA-186797,Signaling by PDGF,3/112,58/11091,0.020693220804313527,0.19639037857678687,0.17713561403493802,6696/1293/56034,3
R-HSA-166663,Initial triggering of complement,2/112,23/11091,0.0222697424785363,0.20743852716118072,0.18710056546294626,718/716,2
R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,2/112,24/11091,0.02413622815109029,0.216795049285686,0.1955397431037578,8644/1645,2
R-HSA-9620244,Long-term potentiation,2/112,24/11091,0.02413622815109029,0.216795049285686,0.1955397431037578,2902/1741,2
R-HSA-9733709,Cardiogenesis,2/112,27/11091,0.030100807206115927,0.2656264214855493,0.23958352550020248,51176/1482,2
R-HSA-1483191,Synthesis of PC,2/112,28/11091,0.03220606474502206,0.2699941761124349,0.24352305096674567,43/1103,2
R-HSA-3295583,TRP channels,2/112,28/11091,0.03220606474502206,0.2699941761124349,0.24352305096674567,8989/80036,2
R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,2/112,28/11091,0.03220606474502206,0.2699941761124349,0.24352305096674567,7402/25937,2
R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,2/112,29/11091,0.034367586812447,0.27882090591388453,0.25148437888225217,2902/1741,2
R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",2/112,29/11091,0.034367586812447,0.27882090591388453,0.25148437888225217,84676/2308,2
R-HSA-3000157,Laminin interactions,2/112,30/11091,0.036584044378860654,0.29209165591376046,0.2634540205060809,3914/3679,2
R-HSA-5668914,Diseases of metabolism,6/112,250/11091,0.04091567020020595,0.3138152449522691,0.28304775677394156,170691/81794/4060/4128/170690/54437,6
R-HSA-1251985,Nuclear signaling by ERBB4,2/112,32/11091,0.04117655301560588,0.3138152449522691,0.28304775677394156,348/6387,2
R-HSA-451326,Activation of kainate receptors upon glutamate binding,2/112,32/11091,0.04117655301560588,0.3138152449522691,0.28304775677394156,2901/1741,2
R-HSA-420092,Glucagon-type ligand receptors,2/112,33/11091,0.04355004832736154,0.32695036281586354,0.29489506408629734,7434/7432,2
R-HSA-5576891,Cardiac conduction,4/112,132/11091,0.04454269281674986,0.3294849189238997,0.2971811239012258,30818/4881/1482/25937,4
R-HSA-192105,Synthesis of bile acids and bile salts,2/112,34/11091,0.04597336707909195,0.3351391831997573,0.3022810253407876,8644/1645,2
R-HSA-438064,Post NMDA receptor activation events,3/112,80/11091,0.04705020650306626,0.3380893410148904,0.3049419398920535,7277/2902/1741,3
R-HSA-449147,Signaling by Interleukins,9/112,473/11091,0.0496283437548481,0.3418024553484813,0.30829100817242944,4128/6097/6850/2308/3600/90865/7124/4692/1052,9
R-HSA-9856651,MITF-M-dependent gene expression,3/112,82/11091,0.04999673024334789,0.3418024553484813,0.30829100817242944,51176/2766/1029,3
R-HSA-76002,"Platelet activation, signaling and aggregation",6/112,263/11091,0.05017187664013818,0.3418024553484813,0.30829100817242944,5054/7277/6850/3481/7018/7424,6
R-HSA-190861,Gap junction assembly,2/112,36/11091,0.05096458081736798,0.3418024553484813,0.30829100817242944,7277/2697,2
R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,2/112,36/11091,0.05096458081736798,0.3418024553484813,0.30829100817242944,5054/25937,2
R-HSA-8964043,Plasma lipoprotein clearance,2/112,37/11091,0.053530076836241856,0.3542845874819691,0.3195493506429396,348/7436,2
R-HSA-8853884,Transcriptional Regulation by VENTX,2/112,38/11091,0.05614059784404833,0.35540360277608696,0.32055865396357325,51176/1029,2
R-HSA-6794362,Protein-protein interactions at synapses,3/112,86/11091,0.05615321225559179,0.35540360277608696,0.32055865396357325,50944/2902/1741,3
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,5/112,205/11091,0.0565254239007693,0.35540360277608696,0.32055865396357325,7277/57576/2901/2902/1741,5
R-HSA-397014,Muscle contraction,5/112,205/11091,0.0565254239007693,0.35540360277608696,0.32055865396357325,1756/30818/4881/1482/25937,5
R-HSA-9031628,NGF-stimulated transcription,2/112,39/11091,0.05879499127706567,0.36510963718967937,0.3293130765486069,7425/429,2
R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,2/112,42/11091,0.0670101537363327,0.4110500893826262,0.37074937433067257,348/8542,2
R-HSA-5362517,Signaling by Retinoic Acid,2/112,43/11091,0.06982887384715789,0.4231798017484387,0.3816898494372232,8644/1382,2
R-HSA-451927,Interleukin-2 family signaling,2/112,44/11091,0.07268597339675274,0.4352505311734123,0.3925771244862209,6850/3600,2
R-HSA-194068,Bile acid and bile salt metabolism,2/112,45/11091,0.07558040606826079,0.4357145465301746,0.392995646237324,8644/1645,2
R-HSA-190828,Gap junction trafficking,2/112,47/11091,0.08147716967366964,0.4357145465301746,0.392995646237324,7277/2697,2
R-HSA-69231,Cyclin D associated events in G1,2/112,47/11091,0.08147716967366964,0.4357145465301746,0.392995646237324,1028/1029,2
R-HSA-69236,G1 Phase,2/112,47/11091,0.08147716967366964,0.4357145465301746,0.392995646237324,1028/1029,2
R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,2/112,47/11091,0.08147716967366964,0.4357145465301746,0.392995646237324,348/8204,2
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,3/112,102/11091,0.08411296115744385,0.4357145465301746,0.392995646237324,7293/7124/4050,3
R-HSA-157858,Gap junction trafficking and regulation,2/112,49/11091,0.08751112759693178,0.4357145465301746,0.392995646237324,7277/2697,2
R-HSA-2187338,Visual phototransduction,3/112,104/11091,0.08796046441038556,0.4357145465301746,0.392995646237324,348/8644/1645,3
R-HSA-1483249,Inositol phosphate metabolism,2/112,50/11091,0.09057711391759841,0.4357145465301746,0.392995646237324,55190/170685,2
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,2/112,50/11091,0.09057711391759841,0.4357145465301746,0.392995646237324,166012/51363,2
R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,2/112,51/11091,0.09367450198981224,0.4357145465301746,0.392995646237324,5054/25937,2
R-HSA-190377,FGFR2b ligand binding and activation,1/112,10/11091,0.09655272552491945,0.4357145465301746,0.392995646237324,2246,1
R-HSA-209968,Thyroxine biosynthesis,1/112,10/11091,0.09655272552491945,0.4357145465301746,0.392995646237324,1735,1
R-HSA-418890,Role of second messengers in netrin-1 signaling,1/112,10/11091,0.09655272552491945,0.4357145465301746,0.392995646237324,9423,1
R-HSA-428542,Regulation of commissural axon pathfinding by SLIT and ROBO,1/112,10/11091,0.09655272552491945,0.4357145465301746,0.392995646237324,9423,1
R-HSA-8963888,Chylomicron assembly,1/112,10/11091,0.09655272552491945,0.4357145465301746,0.392995646237324,348,1
R-HSA-8963901,Chylomicron remodeling,1/112,10/11091,0.09655272552491945,0.4357145465301746,0.392995646237324,348,1
R-HSA-8964058,HDL remodeling,1/112,10/11091,0.09655272552491945,0.4357145465301746,0.392995646237324,348,1
R-HSA-9617629,Regulation of FOXO transcriptional activity by acetylation,1/112,10/11091,0.09655272552491945,0.4357145465301746,0.392995646237324,2308,1
R-HSA-9757110,Prednisone ADME,1/112,10/11091,0.09655272552491945,0.4357145465301746,0.392995646237324,1645,1
R-HSA-2428928,IRS-related events triggered by IGF1R,2/112,52/11091,0.09680235893382337,0.4357145465301746,0.392995646237324,3481/2246,2
R-HSA-383280,Nuclear Receptor transcription pathway,2/112,52/11091,0.09680235893382337,0.4357145465301746,0.392995646237324,6097/8013,2
R-HSA-2428924,IGF1R signaling cascade,2/112,53/11091,0.09995976720314491,0.4357145465301746,0.392995646237324,3481/2246,2
R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),2/112,54/11091,0.10314582437462719,0.4357145465301746,0.392995646237324,3481/2246,2
R-HSA-5620924,Intraflagellar transport,2/112,54/11091,0.10314582437462719,0.4357145465301746,0.392995646237324,7277/57576,2
R-HSA-1839122,Signaling by activated point mutants of FGFR1,1/112,11/11091,0.1056842204027475,0.4357145465301746,0.392995646237324,2246,1
R-HSA-193692,Regulated proteolysis of p75NTR,1/112,11/11091,0.1056842204027475,0.4357145465301746,0.392995646237324,4804,1
R-HSA-196025,Formation of annular gap junctions,1/112,11/11091,0.1056842204027475,0.4357145465301746,0.392995646237324,2697,1
R-HSA-446107,Type I hemidesmosome assembly,1/112,11/11091,0.1056842204027475,0.4357145465301746,0.392995646237324,3914,1
R-HSA-9614399,Regulation of localization of FOXO transcription factors,1/112,11/11091,0.1056842204027475,0.4357145465301746,0.392995646237324,2308,1
R-HSA-9690406,Transcriptional regulation of testis differentiation,1/112,11/11091,0.1056842204027475,0.4357145465301746,0.392995646237324,5730,1
R-HSA-9730414,MITF-M-regulated melanocyte development,3/112,114/11091,0.10826717387040527,0.4357145465301746,0.392995646237324,51176/2766/1029,3
R-HSA-187037,Signaling by NTRK1 (TRKA),3/112,115/11091,0.11039105582154271,0.4357145465301746,0.392995646237324,7425/429/6014,3
R-HSA-1839130,Signaling by activated point mutants of FGFR3,1/112,12/11091,0.11472423550336952,0.4357145465301746,0.392995646237324,2246,1
R-HSA-190873,Gap junction degradation,1/112,12/11091,0.11472423550336952,0.4357145465301746,0.392995646237324,2697,1
R-HSA-2029481,FCGR activation,1/112,12/11091,0.11472423550336952,0.4357145465301746,0.392995646237324,6850,1
R-HSA-2033514,FGFR3 mutant receptor activation,1/112,12/11091,0.11472423550336952,0.4357145465301746,0.392995646237324,2246,1
R-HSA-4641265,Repression of WNT target genes,1/112,12/11091,0.11472423550336952,0.4357145465301746,0.392995646237324,51176,1
R-HSA-6803211,TP53 Regulates Transcription of Death Receptors and Ligands,1/112,12/11091,0.11472423550336952,0.4357145465301746,0.392995646237324,3486,1
R-HSA-73621,Pyrimidine catabolism,1/112,12/11091,0.11472423550336952,0.4357145465301746,0.392995646237324,84618,1
R-HSA-9020558,Interleukin-2 signaling,1/112,12/11091,0.11472423550336952,0.4357145465301746,0.392995646237324,6850,1
R-HSA-9827857,Specification of primordial germ cells,1/112,12/11091,0.11472423550336952,0.4357145465301746,0.392995646237324,7852,1
R-HSA-9831926,Nephron development,1/112,12/11091,0.11472423550336952,0.4357145465301746,0.392995646237324,5455,1
R-HSA-1236394,Signaling by ERBB4,2/112,58/11091,0.11615901139875923,0.4357145465301746,0.392995646237324,348/6387,2
R-HSA-373760,L1CAM interactions,3/112,119/11091,0.11904575283891151,0.4357145465301746,0.392995646237324,7277/1741/2596,3
R-HSA-2142753,Arachidonic acid metabolism,2/112,59/11091,0.11947529168282929,0.4357145465301746,0.392995646237324,5730/8644,2
R-HSA-3000171,Non-integrin membrane-ECM interactions,2/112,59/11091,0.11947529168282929,0.4357145465301746,0.392995646237324,1756/3914,2
R-HSA-380108,Chemokine receptors bind chemokines,2/112,59/11091,0.11947529168282929,0.4357145465301746,0.392995646237324,6387/7852,2
R-HSA-190239,FGFR3 ligand binding and activation,1/112,13/11091,0.12367367910149407,0.4357145465301746,0.392995646237324,2246,1
R-HSA-190372,FGFR3c ligand binding and activation,1/112,13/11091,0.12367367910149407,0.4357145465301746,0.392995646237324,2246,1
R-HSA-190375,FGFR2c ligand binding and activation,1/112,13/11091,0.12367367910149407,0.4357145465301746,0.392995646237324,2246,1
R-HSA-209543,p75NTR recruits signalling complexes,1/112,13/11091,0.12367367910149407,0.4357145465301746,0.392995646237324,4804,1
R-HSA-209560,NF-kB is activated and signals survival,1/112,13/11091,0.12367367910149407,0.4357145465301746,0.392995646237324,4804,1
R-HSA-2168880,Scavenging of heme from plasma,1/112,13/11091,0.12367367910149407,0.4357145465301746,0.392995646237324,8542,1
R-HSA-5654227,Phospholipase C-mediated cascade; FGFR3,1/112,13/11091,0.12367367910149407,0.4357145465301746,0.392995646237324,2246,1
R-HSA-74217,Purine salvage,1/112,13/11091,0.12367367910149407,0.4357145465301746,0.392995646237324,2766,1
R-HSA-75205,Dissolution of Fibrin Clot,1/112,13/11091,0.12367367910149407,0.4357145465301746,0.392995646237324,5054,1
R-HSA-9768759,Regulation of NPAS4 gene expression,1/112,13/11091,0.12367367910149407,0.4357145465301746,0.392995646237324,30818,1
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),2/112,61/11091,0.12617767159894125,0.4357145465301746,0.392995646237324,7425/429,2
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,2/112,61/11091,0.12617767159894125,0.4357145465301746,0.392995646237324,1293/3914,2
R-HSA-2559580,Oxidative Stress Induced Senescence,3/112,124/11091,0.13020649586334274,0.4357145465301746,0.392995646237324,4217/23043/1029,3
R-HSA-9006936,Signaling by TGFB family members,3/112,124/11091,0.13020649586334274,0.4357145465301746,0.392995646237324,5054/64388/25937,3
R-HSA-162594,Early Phase of HIV Life Cycle,1/112,14/11091,0.1325334505350233,0.4357145465301746,0.392995646237324,7852,1
R-HSA-166786,Creation of C4 and C2 activators,1/112,14/11091,0.1325334505350233,0.4357145465301746,0.392995646237324,716,1
R-HSA-190322,FGFR4 ligand binding and activation,1/112,14/11091,0.1325334505350233,0.4357145465301746,0.392995646237324,2246,1
R-HSA-190373,FGFR1c ligand binding and activation,1/112,14/11091,0.1325334505350233,0.4357145465301746,0.392995646237324,2246,1
R-HSA-5682910,LGI-ADAM interactions,1/112,14/11091,0.1325334505350233,0.4357145465301746,0.392995646237324,9211,1
R-HSA-8983432,Interleukin-15 signaling,1/112,14/11091,0.1325334505350233,0.4357145465301746,0.392995646237324,3600,1
R-HSA-9796292,Formation of axial mesoderm,1/112,14/11091,0.1325334505350233,0.4357145465301746,0.392995646237324,51176,1
R-HSA-1442490,Collagen degradation,2/112,64/11091,0.13639395842705554,0.44422583416855493,0.4006724589863914,4327/1293,2
R-HSA-9614085,FOXO-mediated transcription,2/112,65/11091,0.1398397164371165,0.44422583416855493,0.4006724589863914,84676/2308,2
R-HSA-2022857,Keratan sulfate degradation,1/112,15/11091,0.14130444029218447,0.44422583416855493,0.4006724589863914,4060,1
R-HSA-2214320,Anchoring fibril formation,1/112,15/11091,0.14130444029218447,0.44422583416855493,0.4006724589863914,3914,1
R-HSA-5654228,Phospholipase C-mediated cascade; FGFR4,1/112,15/11091,0.14130444029218447,0.44422583416855493,0.4006724589863914,2246,1
